Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
nc,72104306,0,"Saturday, November  9, 2013 17:55:51 UTC",39.7820,-123.5620,1.9,8.30, 9,"Northern California"
ci,11389738,2,"Saturday, November  9, 2013 17:53:27 UTC",34.0188,-117.1938,1.2,16.20,14,"Greater Los Angeles area, California"
nc,72104301,0,"Saturday, November  9, 2013 17:48:32 UTC",38.8233,-122.8272,1.1,2.30,15,"Northern California"
ci,11389714,2,"Saturday, November  9, 2013 17:23:45 UTC",33.9940,-117.2207,1.1,11.60,22,"Greater Los Angeles area, California"
ci,11389698,2,"Saturday, November  9, 2013 17:20:17 UTC",33.9962,-117.2127,1.4,11.20,49,"Greater Los Angeles area, California"
ci,11389690,2,"Saturday, November  9, 2013 17:18:10 UTC",33.9958,-117.2182,2.2,12.70,98,"Greater Los Angeles area, California"
ak,10842112,1,"Saturday, November  9, 2013 16:59:15 UTC",62.5985,-151.5640,3.2,95.10,75,"Central Alaska"
pr,13313003,0,"Saturday, November  9, 2013 16:53:13 UTC",19.1711,-64.8052,3.2,53.00,16,"Virgin Islands region"
ak,10842104,1,"Saturday, November  9, 2013 16:49:57 UTC",63.6396,-150.7819,2.6,0.00,31,"Central Alaska"
nn,00428832,1,"Saturday, November  9, 2013 16:40:37 UTC",38.2145,-118.8167,1.9,5.70,29,"Nevada"
ak,10842097,1,"Saturday, November  9, 2013 16:37:53 UTC",62.9079,-148.5573,1.1,55.60,17,"Central Alaska"
nc,72104256,1,"Saturday, November  9, 2013 16:19:46 UTC",40.4340,-124.6938,2.2,17.30,23,"offshore Northern California"
ak,10842079,1,"Saturday, November  9, 2013 15:43:58 UTC",61.5294,-146.6060,2.5,4.80,53,"Southern Alaska"
hv,60589321,2,"Saturday, November  9, 2013 15:25:40 UTC",19.4230,-155.2508,1.9,1.90,36,"Island of Hawaii, Hawaii"
nc,72104251,1,"Saturday, November  9, 2013 15:23:46 UTC",38.8208,-122.7987,1.1,3.20,21,"Northern California"
hv,60589316,2,"Saturday, November  9, 2013 15:02:36 UTC",19.4048,-155.2817,1.8,1.80,35,"Island of Hawaii, Hawaii"
nc,72104236,1,"Saturday, November  9, 2013 14:52:44 UTC",40.1805,-121.0587,2.2,1.10,19,"Northern California"
ci,11389682,2,"Saturday, November  9, 2013 14:51:17 UTC",32.7268,-116.0667,2.4,8.80,58,"Southern California"
nc,72104231,0,"Saturday, November  9, 2013 14:48:10 UTC",38.8085,-122.8087,1.4,2.10,13,"Northern California"
nc,72104221,1,"Saturday, November  9, 2013 14:47:56 UTC",38.8083,-122.8132,1.7,2.50,32,"Northern California"
ci,11389674,2,"Saturday, November  9, 2013 14:32:14 UTC",33.9942,-117.2133,1.0,11.70,22,"Greater Los Angeles area, California"
ci,11389666,2,"Saturday, November  9, 2013 14:28:35 UTC",34.2520,-116.8210,1.8,3.20,66,"Southern California"
ci,11389658,2,"Saturday, November  9, 2013 14:04:29 UTC",33.9645,-116.6817,1.0,13.00,22,"Southern California"
nc,72104216,0,"Saturday, November  9, 2013 14:03:36 UTC",38.8360,-122.7755,1.2,2.30,18,"Northern California"
ak,10842052,1,"Saturday, November  9, 2013 13:54:14 UTC",63.1360,-150.4092,1.6,93.70,20,"Central Alaska"
pr,13313002,0,"Saturday, November  9, 2013 13:53:59 UTC",18.5212,-67.4477,2.5,21.00, 8,"Mona Passage, Puerto Rico"
ci,11389642,2,"Saturday, November  9, 2013 13:02:15 UTC",33.9997,-117.2122,1.0,11.30,33,"Greater Los Angeles area, California"
ak,10842040,1,"Saturday, November  9, 2013 12:58:03 UTC",61.5864,-151.8306,2.1,100.00,30,"Southern Alaska"
nc,72104196,0,"Saturday, November  9, 2013 12:56:05 UTC",39.3265,-122.8355,1.9,6.60,14,"Northern California"
ci,11389634,2,"Saturday, November  9, 2013 12:29:23 UTC",33.4057,-116.4485,1.3,12.70,23,"Southern California"
ak,10842032,1,"Saturday, November  9, 2013 12:22:18 UTC",62.6047,-150.0748,1.3,81.90,12,"Central Alaska"
nn,00428817,1,"Saturday, November  9, 2013 12:06:34 UTC",39.7880,-120.6706,1.1,11.80,11,"Northern California"
nn,00428816,1,"Saturday, November  9, 2013 12:05:20 UTC",39.7899,-120.6711,1.1,12.50,13,"Northern California"
pr,13313001,0,"Saturday, November  9, 2013 12:01:49 UTC",17.9419,-67.4605,2.2,27.00, 4,"Puerto Rico region"
ci,11389610,2,"Saturday, November  9, 2013 11:56:10 UTC",33.9982,-117.2123,1.4,10.90,57,"Greater Los Angeles area, California"
ci,11389602,2,"Saturday, November  9, 2013 11:45:32 UTC",36.0343,-117.7682,1.6,2.70, 8,"Central California"
ci,11389594,2,"Saturday, November  9, 2013 11:45:02 UTC",36.0342,-117.7697,1.2,2.50,12,"Central California"
ak,10842021,1,"Saturday, November  9, 2013 11:17:30 UTC",60.9857,-147.2948,1.6,25.10, 9,"Southern Alaska"
nc,72104161,1,"Saturday, November  9, 2013 11:15:09 UTC",37.4662,-118.8498,1.5,6.50,25,"Central California"
ak,10842016,1,"Saturday, November  9, 2013 11:01:44 UTC",61.7634,-150.1598,1.2,28.60, 8,"Southern Alaska"
se,110913a,A,"Saturday, November  9, 2013 10:59:44 UTC",37.9361,-77.9750,1.9,5.50, 6,"Virginia"
nc,72104131,1,"Saturday, November  9, 2013 10:50:14 UTC",38.8012,-122.7710,1.5,1.60,22,"Northern California"
